,N,Max,Min,deviation,Class
50,9.0,0.474418697212,0.00704680991441,0.217684958557,1.0
51,8.0,0.34205665731,0.021207550769,0.18970921923,1.0
52,9.0,0.464787813969,0.00307775728078,0.237740034454,1.0
53,8.0,0.369843528394,0.00261931468616,0.219798349641,1.0
54,9.0,0.515736820174,0.0255325033355,0.226780729895,1.0
55,8.0,0.42849126124,0.00215770140845,0.218155905266,1.0
56,10.0,0.774906369249,0.00483699091357,0.3112092986,0.0
57,7.0,0.495965560177,0.0408477989194,0.238231633782,0.0
58,8.0,0.343504087006,0.100771516649,0.219214916878,1.0
59,8.0,0.387995797645,0.0602391963133,0.215669820571,1.0
60,9.0,0.4864571879,0.000352472755726,0.254060522511,1.0
61,8.0,0.200123357929,0.00962065459642,0.104872006263,1.0
62,10.0,0.598807940294,0.00570114785439,0.233624949167,1.0
63,8.0,0.360383158648,0.0310878273573,0.219885914042,1.0
64,10.0,0.448933501463,0.00202177080228,0.263572647584,1.0
65,8.0,0.390106031801,0.000632592602031,0.237264006909,1.0
66,10.0,0.463605763636,0.00679929413646,0.264650249628,1.0
67,8.0,0.362760895085,0.0171661089046,0.194094493018,1.0
68,8.0,0.320158002303,0.1277965307,0.22059078234,1.0
69,8.0,0.361248675962,0.0887751392276,0.218155573938,1.0
70,8.0,0.365192968946,0.0847724362895,0.224982702618,1.0
71,8.0,0.362977444477,0.0517609298821,0.215014264756,1.0
72,8.0,0.367045243933,0.0660731523449,0.214037638986,1.0
73,8.0,0.373870887318,0.0502847512191,0.215028762922,1.0
74,9.0,0.437125272786,0.026849321687,0.241367693471,1.0
75,8.0,0.380717272066,0.0539258530824,0.219916338389,1.0
76,8.0,0.330974959162,0.124071408865,0.219979469128,1.0
77,8.0,0.708075208942,0.0186805447334,0.193563087206,1.0
78,10.0,0.488754789999,0.00498078445949,0.267257083495,1.0
79,10.0,0.433584359569,0.0749281295028,0.287200421834,1.0
80,9.0,0.540524723673,0.0677950439704,0.26450170758,0.0
81,9.0,0.468494760133,0.00412256288499,0.236183661897,1.0
82,8.0,0.349137099192,0.00533131981287,0.175131324821,1.0
83,10.0,0.464615584569,0.00316600930704,0.264105801004,1.0
84,9.0,0.435135214124,0.0515757782888,0.243857999657,1.0
85,10.0,0.467177763014,0.0128879661386,0.267107493233,1.0
86,9.0,0.452737398157,0.00462983484223,0.242070316133,1.0
87,9.0,0.472172078988,0.00455477356254,0.248972240795,1.0
88,8.0,0.38328929253,0.0540436473745,0.220611485532,1.0
89,10.0,0.466566842408,0.00187869356019,0.263232990809,1.0
90,9.0,0.443459749708,0.00178765459516,0.244400054964,1.0
91,9.0,0.473034519287,1.43863171176e-05,0.242305448592,1.0
92,8.0,0.262808478627,0.147886062264,0.215826039206,1.0
93,8.0,0.418026377318,0.0593307737081,0.235366607656,1.0
94,8.0,0.323366095818,0.0434798912253,0.191458497132,1.0
