,event,TrackID,bef/aft,N,Max_1,Min_1,deviation_1,Max_0,Min_0,deviation_0,Class
28,10,1,0,9,1.8222243650373455,0.70973128294155075,1.0710810361704044,0.020008932075186725,0.0017119610932998242,0.013818675256219898,1.0
29,10,2,0,8,1.2949923180245222,0.83092678530449837,1.0225486718887433,0.037017213966639456,0.00046907884728392135,0.019164134214693741,1.0
30,10,1,1,10,1.2024050828801427,0.29112981513628505,0.88567779137421887,0.037436244941160018,0.013703833453993564,0.022146107145687613,1.0
31,10,2,1,9,1.1248942488722871,0.46613847890908039,0.92716148532524201,0.048987120917852948,0.000139635783692027,0.017276436939851994,1.0
32,2059,1,0,10,1.3113281510365427,0.2252702417752438,0.88287720169455253,0.03433365339908262,0.0025055347295858867,0.015375533747844481,1.0
33,2059,2,0,9,1.1769491405416204,0.38950109528913374,0.92657243791474764,0.034494825211611707,0.0068133678726413349,0.018502614876131033,1.0
34,2059,1,1,10,1.0688591254069486,0.13990509538879214,0.82593506350893553,0.018994816486339272,0.0023291396248861932,0.010253081805596993,1.0
35,2059,2,1,8,1.1115353402724055,0.93024190697778197,1.0079251177992217,0.010722864332785187,0.0040641396211071878,0.0066851781434936249,1.0
36,1036,1,0,10,3.2296567705003216,0.19463053375630976,1.4078672178552247,0.50582568772948622,0.00060466695695641994,0.083996509228888683,0.9
37,1036,2,0,9,1.2758242574636391,0.49846405895689566,0.96550408248542219,0.10426383065709779,0.0096205776572647062,0.042926360520377384,1.0
38,1036,1,1,9,1.6923028043979829,0.23047580920630056,0.86395183683938981,0.10067897018028334,0.010656151285473994,0.0623647333439111,1.0
39,1036,2,1,8,1.161962854302049,0.90492881834102135,1.0071359525275962,0.019408369279203613,0.0097374942732160186,0.013416627990500304,1.0
40,1550,1,0,9,1.3317675961298143,0.21063672857823018,0.94965514288238473,0.022254334725866576,0.008028466336922304,0.012478093668017222,1.0
41,1550,2,0,8,1.1070424463833133,0.9039673963539947,1.0028718298566641,0.018621189350461143,0.0081994150503250929,0.014017385332679554,1.0
42,1550,1,1,9,1.0891603544309065,0.11620061760161442,0.8842356447083598,0.029414618724229957,0.002279487229404964,0.012805813733796289,1.0
43,1550,2,1,9,1.1288810351555456,0.26344093913240202,0.93036263201229197,0.018079842010702396,0.002401476275581016,0.009601926950857459,1.0
44,15,1,0,9,1.3059162427282069,0.46201891948212809,0.98275138820776298,0.034475711747740473,0.0038961543553261424,0.022138079361109415,1.0
45,15,2,0,8,1.1320056535475995,0.95049687595532073,1.0313522330464344,0.012177990407960554,0.0038164221247884225,0.006908336416738845,1.0
46,15,1,1,9,1.1469881985134203,0.64888878714787257,0.94246808611303612,0.042676834415057985,0.00035913251271876834,0.01871180939004545,1.0
47,15,2,1,8,1.0774562966020287,0.90632179632996013,1.0041272132897918,0.017166338295881323,0.0065492392655470688,0.012462060036426442,1.0
48,2392,1,0,8,1.2295325825493564,0.81622839420201165,1.0132210547561347,0.016397420329175072,0.0046042188968944756,0.0085195063127657539,1.0
49,2392,2,0,8,1.073511553530607,0.91782448602650457,0.99946704202173797,0.0089985710861939933,0.0035389406576797899,0.0067998371622117731,1.0
50,2392,1,1,9,1.0783307467133767,0.15832072576614695,0.92194672439447423,0.028908386028077739,0.0029751006681153491,0.012571685685230018,1.0
51,2392,2,1,9,1.2434736359577545,0.26354204647319007,0.84900314478468308,0.067392434099236287,0.013191397366851265,0.031780987570055881,1.0
52,1042,1,0,8,1.0602817245895944,0.92693257841862164,1.0001660732540749,0.01476629457808018,0.0027525034130259918,0.0073284363614417279,1.0
53,1042,2,0,8,1.1280748189160199,0.89921916492943144,1.0120974481677107,0.018932213204069515,0.010846264716517728,0.014381487517266645,1.0
54,1042,1,1,9,1.4614967468146669,0.68643850164211395,0.97730677435674862,0.031075808388655868,0.0051148125471665029,0.014581432069740916,1.0
55,1042,2,1,8,1.2759750643885446,0.76228338373675752,1.0108725553719122,0.024690840011390117,0.0097013375543287261,0.014173099058530302,1.0
